Encoding,Dataset,Block Size,Compression Ratio
REGER-Without-Reordering,Vehicle-Charge,13,1.8759497168117143
REGER,YZ-Electricity,4,2.3923309071542698
REGER,YZ-Electricity,5,2.88297796477216
REGER,YZ-Electricity,6,3.261111559248206
REGER,YZ-Electricity,7,3.50147237138403
REGER,YZ-Electricity,8,3.5173133808943797
REGER,YZ-Electricity,9,3.4663465660636197
REGER,YZ-Electricity,10,3.3737795209880663
REGER,YZ-Electricity,11,3.3170331473580577
REGER,YZ-Electricity,12,3.18105279723031
REGER,YZ-Electricity,13,3.1187225179356637
REGER-Without-Reordering,YZ-Electricity,4,2.192526709691415
REGER-Without-Reordering,YZ-Electricity,5,2.598534516004628
REGER-Without-Reordering,YZ-Electricity,6,2.9116312567518907
REGER-Without-Reordering,YZ-Electricity,7,3.060177125123004
REGER-Without-Reordering,YZ-Electricity,8,3.080698011125505
REGER-Without-Reordering,YZ-Electricity,9,3.0643523080421438
REGER-Without-Reordering,YZ-Electricity,10,2.916041546451241
REGER-Without-Reordering,YZ-Electricity,11,2.9357345145595817
REGER-Without-Reordering,YZ-Electricity,12,2.9365874918282855
REGER-Without-Reordering,YZ-Electricity,13,2.9387221051101258
