Encoding,Dataset,p,Compression Ratio
REGER-64-DOUBLE,USGS-Earthquakes,3,3.119364268385726
REGER-64-DOUBLE,USGS-Earthquakes,4,3.0431225099435006
REGER-64-DOUBLE,USGS-Earthquakes,5,2.9768759929513746
REGER-64-DOUBLE,USGS-Earthquakes,6,2.914791869926514
REGER-64-DOUBLE,USGS-Earthquakes,7,2.860384169137553
REGER-64-DOUBLE,USGS-Earthquakes,8,2.805666798770662
REGER-64-DOUBLE,USGS-Earthquakes,9,2.76062270506479
REGER-32-FLOAT,Vehicle-Charge,1,2.3650296064089167
REGER-32-FLOAT,Vehicle-Charge,2,2.3343360550064465
REGER-32-FLOAT,Vehicle-Charge,3,2.3077576684510155
REGER-32-FLOAT,Vehicle-Charge,4,2.268437317297252
REGER-32-FLOAT,Vehicle-Charge,5,2.2359430312011197
REGER-32-FLOAT,Vehicle-Charge,6,2.216961880662803
REGER-32-FLOAT,Vehicle-Charge,7,2.2061570952806435
REGER-32-FLOAT,Vehicle-Charge,8,2.175933344015382
REGER-32-FLOAT,Vehicle-Charge,9,2.1613878720356516
REGER-64-DOUBLE,Vehicle-Charge,1,2.342186961021042
REGER-64-DOUBLE,Vehicle-Charge,2,2.301109887316784
REGER-64-DOUBLE,Vehicle-Charge,3,2.2646543817226714
REGER-64-DOUBLE,Vehicle-Charge,4,2.2166000163225332
REGER-64-DOUBLE,Vehicle-Charge,5,2.1757590322839064
REGER-64-DOUBLE,Vehicle-Charge,6,2.1482243138495614
REGER-64-DOUBLE,Vehicle-Charge,7,2.128693471275178
REGER-64-DOUBLE,Vehicle-Charge,8,2.0914831356845833
REGER-64-DOUBLE,Vehicle-Charge,9,2.069175681852811
REGER-32-FLOAT,YZ-Electricity,1,3.268097489996363
REGER-32-FLOAT,YZ-Electricity,2,3.2779016499777036
REGER-32-FLOAT,YZ-Electricity,3,3.3490452719214683
REGER-32-FLOAT,YZ-Electricity,4,3.383804143126177
REGER-32-FLOAT,YZ-Electricity,5,3.3523777934408563
REGER-32-FLOAT,YZ-Electricity,6,3.3605985037406483
REGER-32-FLOAT,YZ-Electricity,7,3.3869224647090856
REGER-32-FLOAT,YZ-Electricity,8,3.366054702135632
REGER-32-FLOAT,YZ-Electricity,9,3.355299194953938
REGER-64-DOUBLE,YZ-Electricity,1,3.2468377303939286
REGER-64-DOUBLE,YZ-Electricity,2,3.246316296623439
REGER-64-DOUBLE,YZ-Electricity,3,3.3052364795814095
REGER-64-DOUBLE,YZ-Electricity,4,3.3280922000411617
REGER-64-DOUBLE,YZ-Electricity,5,3.286962884670109
REGER-64-DOUBLE,YZ-Electricity,6,3.284159220146223
REGER-64-DOUBLE,YZ-Electricity,7,3.2991676187367394
REGER-64-DOUBLE,YZ-Electricity,8,3.268097489996363
REGER-64-DOUBLE,YZ-Electricity,9,3.2474897582135114
